H0ACICPW;AE02;000000879;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000
H0ACICPW;AE03;000000496;000000000;000000383;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000
H0ACICPW;AFE1;000000311;000000015;000000580;000000070;000000003;000000019;000000009;000000000;000000000;000000000;000000000;000000000
H0ACICPL;AP01;000000712;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000
H0ACICPM;AP01;000000602;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000
H0ACICPR;AP01;000000015;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000
H0ACICPS;AP01;000000010;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000
H0ACICPU;AP01;000001133;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000
H0ACICPI;APMM;000000257;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000
H0ACICPJ;APMM;000000114;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000
H0ACICPO;APMM;000000645;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000
H0ACICPU;APMM;000000714;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000
H0ACICPY;APMM;000000183;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000
H0ACICPC;APRT;000093203;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000
H0ACICPC;APZA;000046603;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000
H0ACICPC;APZB;000029519;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000
H0ACICPC;APZC;000048442;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000
H0ACICPC;APZD;000236527;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000
H0ACICPD;AR51;000805000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000
H0ACICPD;AR52;000000000;000000000;000000000;000805004;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000
H0ACICPD;AR61;000000028;000000043;000000011;000000000;000000000;000000000;000000006;000000000;000000000;000000000;000000000;000000000
H0ACICP2;AT02;000006640;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000
HAPCTS1Z;AT90;000012914;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000
HAPCTS27;AT90;000000012;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000
HAPCTS30;AT90;000000353;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000;000000000
